ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
abaga,Abaga,abag1245,,abg,,,,
abau,Abau,abau1245,,aau,,,,
abu-arapesh,Abu' Arapesh,abua1245,,aah,,,,
abui-atimelang,Abui (Atimelang Dialect),atim1239,,abz,,,,
abui-makadai,Abui (Makadai Dialect),abui1241,,abz,,,,
abun,Abun,abun1252,,kgr,,,,
abun-jembun,Abun (Jembun Dialect),abun1252,,kgr,,,,
abun-karon-pantai,Abun (Karon Pantai Dialect),abun1254,,kgr,,,,
abun-senopi,Abun (Senopi Dialect),abun1252,,kgr,,,,
aeka,Aeka,aeka1244,,aez,,,,
aekyom,Aekyom,aeky1238,,awi,,,,
aghu,Aghu,aghu1255,,ahh,,,,
agi,Agi,agii1245,,aif,,,,
agob,Agob,agob1244,,kit,,,,
aheave,Keoru-Ahia (Aheave Dialect),ahea1235,,xeu,,,,
aimele,Aimele,aime1238,,ail,,,,
aisi,Aisi,musa1266,,,,,,
akoye,Akoye,akoy1238,,miw,,,,
alamblak,Alamblak,alam1246,,amp,,,,
alekano,Alekano,alek1238,,gah,,,,
alekano-asaroyufa,Alekano (Asaroyufa Dialect),alek1238,,gah,,,,
alekano-kefamo,Alekano (Kefamo Dialect),alek1238,,gah,,,,
alekano-kotuni,Alekano (Kotuni Dialect),alek1238,,gah,,,,
alekano-notofana,Alekano (Notofana Dialect),alek1238,,gah,,,,
alekano-wanima,Alekano (Wanima Dialect),alek1238,,gah,,,,
alfendio,Alfendio,tape1242,,afp,,,,
alor-baranusa-kabir,Alor (Baranusa Kabir Dialect),alor1247,,aol,,,,
alor-kalabahi,Alor (Kalabahi Dialect),alor1247,,aol,,,,
ama,Ama,amap1240,,amm,,,,
amaimon,Amaimon,amai1246,,ali,,,,
amal,Amal,amal1242,,aad,,,,
ambai,Ambai,amba1265,,amk,,,,
ambai-wadapi-laut,Ambai (Wadapi-Laut Dialect),amba1265,,amk,,,,
ambakich-agurant,Ambakich (Agurant Dialect),amba1269,,aew,,,,
ambakich-arango,Ambakich (Arango Dialect),amba1269,,aew,,,,
ambakich-ombos,Ambakich (Ombos Dialect),amba1269,,aew,,,,
ambakich-pangin,Ambakich (Pangin Dialect),amba1269,,aew,,,,
ambakich-yaut,Ambakich (Yaut Dialect),amba1269,,aew,,,,
ambe-dofo,Yegha (Ambe-Dofo Dialect),kora1294,,kpr,,,,
