Grapheme	IPA
!	NULL
'	NULL
'kʰ	kʰ
'ʔ	ʔ
'̉	NULL
)	NULL
*	NULL
+	+
+$	NULL
+.$	NULL
+_	+
-	+
-#E-	+
-#E-$	NULL
-$	NULL
--	+
--$	NULL
---$	NULL
-?$	NULL
-Q	+
-_	+
-_$	NULL
-_-	+
-_2052$	NULL
-__-	+
.$	NULL
...	+
...$	NULL
...-	+
..._	+
._	+
.	+
0	ɔ
0̸	ɔ
1	ɨ
1$	NULL
2	ø
2052	NULL
7	ɤ
8	ɵ
9	œ
=	+
?	NULL
??	NULL
A	ɑ
A:	ɑː
B	B/b
C	C/p
D	ð
E	E/e
G	G/g
H	h
I	I/i
J	ɟ
K	K/k
Kʰ	kʰ
L	L/l
L̃	L/l
L̶	L/l
M	m
N	N/n
NP-	NULL
N̹	N/n
O	ɔ
P	p
R	R/r
R᷈	R/r
S	ʃ
T	θ
U	U/u
V	V/ə
W	ʍ
X	χ
Y	ʏ
Z	Z/z
^	NULL
^*	NULL
^*-	NULL
^*_	NULL
^*_-	NULL
^*ina~nia$	i n ã n i a
^*i~ne$	ĩ n e
^*kaw~nan$	k ã w n a n
^-	NULL
^--	NULL
^--_	NULL
^-BB:SRP$	+
^.	NULL
^...	NULL
^=	NULL
^Vb_-	NULL
^Verb_+_	NULL
^_	NULL
^__	NULL
^___	NULL
^ba_ͥdi	b ai d i
^gw~au$	g w ãu
^h	h
^ham'bʷaϕ$	h a m b w a ɸ
^hʰɛr$	h ɛ r
^hʷay-$	h w ai
^hʷąkuluʔ$	h w ą/a k u l u ʔ
^ĵ_̟ʌ'ĵ_̟ɔre	j ʌ j ɔ r e
^oll_̥to	o lː t o
^that_+_	NULL
^this_+_	NULL
^u–-$	NULL
^verb_+_	NULL
^yo..._Yo...$	j o + j o
^´r	r
^·	NULL
^ʰ	h
^ʰ'	ʔ
^ʼ	ʔ
^ˈd̪z͡	dz̪
^–	NULL
_	+
_$	NULL
_+$	NULL
_+_'give'$	NULL
_+_Verb	NULL
_+_give$	NULL
_+_vb$	NULL
_+_verb$	NULL
_-	+
_-$	NULL
_?$	NULL
__	+
__$	NULL
___	+
___$	NULL
_____________1	NULL
____________ə	NULL
`i	ʔ i
a	a
a:	aː
a:′	aː ʔ
aa	aː
ai~r	a ĩ r
a~ra-	a r a +
aʰ	a h
aʷ	au
aʼ	a ʔ
aː	aː
a̠	a̠/a
a̧	a̧/a
a̧′	a̧/a ʔ
a̮	a̮/a
a͗	a͗/a
aͥ	aͥ/a
aᵐ	ã
aᵑ	a ŋ
aᵘ	au
aᶦ	ai
a′	a ʔ
aⁱ	ai
aⁿ	ã
b	b
b:	bː
b´	b
bɨdʒ͡ˈ	b ɨ dʒ
bʰ	bʰ
bʲɔ̰ː	bʲ ɔ̃ː
bʷ	bʷ
bʼ	b’
b̄	ɓ
b̌	b
b̚	b̚
b̲	b
b̶	bˤ
b̶ʼ	b̶ʼ/b’
b̶ᵊ	bˤ ə
bᴶ	bʲ
b∿p	p
c	c
c̈	c
d	d
dzˠ	dzˠ/dz
dz̃	dz
dz͡ɑ	dz ɑ
dž	dʒ
dʒ	dʒ
dʒ͡	dʒ
dʒ͡e	dʒ e
dʒ͡i	dʒ i
dʒ͡æ	dʒ æ
dʒ͡ɑ	dʒ ɑ
dʒ͡ɑː	dʒ ɑː
dʒ͡ɔ	dʒ ɔ
dʒ͡ɛ	dʒ ɛ
dʰ	dʰ
